region_code,region_name,municipality_code,municipality_name,piece,group,x,y
12,Skåne län,1270,Tomelilla,1,108.1,440125.189394888,6179726.79715594
12,Skåne län,1272,Bromölla,1,109.1,463635.35364006,6223760.25926035
12,Skåne län,1272,Bromölla,1,109.1,463426.645921345,6229213.56368032
12,Skåne län,1272,Bromölla,1,109.1,465315.198298168,6231834.58842778
12,Skåne län,1272,Bromölla,1,109.1,468576.572570355,6230492.30763236
12,Skåne län,1272,Bromölla,1,109.1,472053.60534309,6231138.72927378
12,Skåne län,1272,Bromölla,1,109.1,473425.327118594,6228380.88991309
12,Skåne län,1272,Bromölla,1,109.1,474772.578842481,6215568.76832784
12,Skåne län,1272,Bromölla,1,109.1,472242.995237634,6214421.67879083
12,Skåne län,1272,Bromölla,1,109.1,471698.164518597,6211258.58907801
12,Skåne län,1272,Bromölla,1,109.1,466835.114782935,6209548.49291397
12,Skåne län,1272,Bromölla,1,109.1,461217.589512822,6210733.40141445
12,Skåne län,1272,Bromölla,1,109.1,461805.758650531,6214293.79527974
12,Skåne län,1272,Bromölla,1,109.1,464969.964964929,6217587.40564425
12,Skåne län,1272,Bromölla,1,109.1,463635.35364006,6223760.25926035
01,Stockholms län,0139,Upplands-Bro,1,11.1,650994.616780157,6611726.92144425
01,Stockholms län,0139,Upplands-Bro,1,11.1,652361.478772224,6611387.58865887
01,Stockholms län,0139,Upplands-Bro,1,11.1,654720.43884598,6610037.49511971
01,Stockholms län,0139,Upplands-Bro,1,11.1,656751.919900027,6609473.27162007
01,Stockholms län,0139,Upplands-Bro,1,11.1,658444.083135557,6608199.05269424
01,Stockholms län,0139,Upplands-Bro,1,11.1,658708.587426074,6607412.40910335
01,Stockholms län,0139,Upplands-Bro,1,11.1,658567.76176069,6605506.04028372
